VEAUX DE BOUCHERIE
COTATION DES VEAUX DE BOUCHERIE ENTREE-ABATTOIR
EN EURO
SEMAINE N° 20 DU 12/05/2025 AU 18/05/2025

Prix "entrée abattoir" HT exprimé en EURO/Kg de carcasse (cinquième quartier compris)
REGIONS;;BLANC;;;;;ROSE TRES CLAIR;;;;;ROSE CLAIR;;;;;ROSE;;;;;ROUGE;;;;
;;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P
NORD;;;;;;;;;;;;;8,60;7,96;7,78;6,85;;7,11;6,61;6,45;5,64;;;;4,92;
NORD;Var.;;;;;;;;;;;;0;-0,02;-0,06;-0,17;;;-0,12;-0,13;-0,13;;;;-0,02;
SUD;;;;;;;;10,69;8,18;7,74;;;9,28;8,17;7,67;7,11;;;7,69;7,05;6,60;;;;5,71;
SUD;Var.;;;;;;;-0,27;-0,07;-0,04;;;0,09;0,02;-0,08;-0,09;;;0,04;-0,10;-0,03;;;;;
COTATION NATIONALE;;;;;;;;10,69;8,18;7,74;;;9,03;8,06;7,74;6,93;;7,11;7,04;6,66;5,97;;;;5,16;
COTATION NATIONALE;Var.;;;;;;;-0,27;-0,07;-0,04;;;0,03;0,01;-0,07;-0,16;;;0,02;-0,10;-0,15;;;;0,22;

PRIX MOYEN PONDERE AUX 100 KG VIF;;PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS
Cot;Var;Cot;Var
760,000;-2,600;798,600;-6,700



Seules les catégories dont la pondération est égale à 1.00 sont retenues dans le calcul du PMP
