PETITS VEAUX
COTATION DES VEAUX DE 14 JOURS A 4 SEMAINES SUR LES MARCHES DE REFERENCE
EN EURO
SEMAINE N° 52 DU 22/12/2025 AU 28/12/2025

EN EURO/Tête
;RACES;SEXE;CONFORMATION;AGEN;ARMO;BOUR;CARE;CHAB;CHAG;LAMB;LEZA;TALA;;MOYENNE NATIONALE;variation
;;;POIDS
VEAUX;RACES À VIANDE;MALE;E;760,00;;;;;;;800,00;;;791,09;0;;LIMOUSINS
VEAUX;Limousins;MALE;U;650,00;;;;750,00;;;700,00;;;696,49;0;;LIMOUSINS
VEAUX;ou;MALE;R;480,00;;;;660,00;;;500,00;;;516,06;0;;LIMOUSINS
VEAUX;Blonds;MALE;O;;;;;;;;;;;;;;LIMOUSINS
VEAUX;;FEMELLE;E;670,00;;;;;;;730,00;;;715,90;0;;LIMOUSINS
VEAUX;;FEMELLE;U;575,00;;;;680,00;;;650,00;;;639,46;0;;LIMOUSINS
VEAUX;;FEMELLE;R;395,00;;;;580,00;;;460,00;;;464,86;0;;LIMOUSINS
VEAUX;;FEMELLE;O;;;;;;;;;;;;;;LIMOUSINS
VEAUX;RACES À VIANDE;MALE;E;;;;;;;;580,00;;;580,00;0;;CHAROLAIS
VEAUX;Charolais;MALE;U;;;;;650,00;;;530,00;;;575,17;0;;CHAROLAIS
VEAUX;ou;MALE;R;;;;;550,00;;;400,00;;;456,46;0;;CHAROLAIS
VEAUX;Blanc Bleu;MALE;O;;;;;;;;290,00;;;290,00;0;;CHAROLAIS
VEAUX;;FEMELLE;E;;;;;;;;530,00;;;530,00;0;;CHAROLAIS
VEAUX;;FEMELLE;U;;;;;580,00;;;460,00;;;502,48;0;;CHAROLAIS
VEAUX;;FEMELLE;R;;;;;480,00;;;380,00;;;415,40;0;;CHAROLAIS
VEAUX;;FEMELLE;O;;;;;;;;260,00;;;260,00;0;;CHAROLAIS
VEAUX;CROISÉS;MALE;E;;;;;;;;580,00;;;580,00;0;;CROISE VIANDE
VEAUX;RACES À VIANDE;MALE;U;;;;;600,00;610,00;;530,00;;;556,18;0;;CROISE VIANDE
VEAUX;Mère race à viande X;MALE;R;;;;;480,00;470,00;;400,00;;;427,75;0;;CROISE VIANDE
VEAUX;mâle race à viande;MALE;O;;;;;350,00;360,00;;290,00;;;312,58;0;;CROISE VIANDE
VEAUX;;FEMELLE;E;;;;;;;;530,00;;;530,00;0;;CROISE VIANDE
VEAUX;;FEMELLE;U;;;;;520,00;550,00;;460,00;;;489,65;0;;CROISE VIANDE
VEAUX;;FEMELLE;R;;;;;430,00;420,00;;380,00;;;403,06;0;;CROISE VIANDE
VEAUX;;FEMELLE;O;;;;;310,00;310,00;;260,00;;;283,53;0;;CROISE VIANDE
