GROS BOVINS ENTREE ABATTOIR
COTATIONS COMMUNAUTAIRES DES GROS BOVINS ENTREE-ABATTOIR
EN EURO
SEMAINE N° 17 DU 24/04/2023 AU 30/04/2023

EN EURO/KG NET, frais de transport inclus
;;;;ETATS D'ENGRAISSEMENT
;;;;2;3;4

1;1;MALES NON CASTRES DE MOINS DE 2 ANS;E;5,84;;;
1;2;MALES NON CASTRES DE MOINS DE 2 ANS;U;5,64;5,49;;
1;3;MALES NON CASTRES DE MOINS DE 2 ANS;R;5,43;5,35;;
1;4;MALES NON CASTRES DE MOINS DE 2 ANS;O;5,01;5,03;;
1;5;MALES NON CASTRES DE MOINS DE 2 ANS;P;;4,98;;
2;1;AUTRES MALES NON CASTRES;E;;;;
2;2;AUTRES MALES NON CASTRES;U;4,82;;;
2;3;AUTRES MALES NON CASTRES;R;4,74;;;
2;4;AUTRES MALES NON CASTRES;O;4,41;;;
3;1;MALES CASTRES;E;;;;
3;2;MALES CASTRES;U;;;;
3;3;MALES CASTRES;R;;5,36;;
3;4;MALES CASTRES;O;;4,92;;
3;5;MALES CASTRES;P;;4,78;;
4;1;FEMELLES AYANT DEJA VELE;E;;;;
4;2;FEMELLES AYANT DEJA VELE;U;;5,80;;
4;3;FEMELLES AYANT DEJA VELE;R;5,36;5,41;5,30;
4;4;FEMELLES AYANT DEJA VELE;O;4,95;4,88;4,78;
4;5;FEMELLES AYANT DEJA VELE;P;4,45;4,66;;
5;1;AUTRES FEMELLES;E;;;;
5;2;AUTRES FEMELLES;U;;5,83;;
5;3;AUTRES FEMELLES;R;5,32;5,46;5,37;
5;4;AUTRES FEMELLES;O;;5,06;;

Les prix sont en euro/kg carcasse, frais de transport inclus. Les différences de présentation des carcasses françaises et communautaires sont prises en compte dans l'établissement des prix.
